媳婦載婆婆就醫返家疑恍神猛撞橋墩車毀2  媳婦要被噹爆了
姚惠珍沒聽過台灣女生沒被性騷過  可惡。我居然沒被甲甲騷擾過
北港日興堂的大餅根本全台最猛吧  北港大餅是全台最好吃的
坦克車最大的弱點是哪裡  名嘴…任何再好的坦克在綠腦的名嘴下都是廢
大家敢報自己的姓氏嗎  ptt一堆姓金城的
花型是不是翔陽戰犯  藤真上場前，翔陽是領先的，你說誰是戰犯
台灣原物料最近還有在漲嗎  老闆都說物價一直漲單價也一直漲
關鍵時刻的來賓  李正皓沒有躲關鍵時刻，但關鍵時刻是不
夢到幫年輕女按摩應該不算性騷吧  這是托夢吧
機掰颱風來了又不下雨  你的暱稱下一句不就給你答案了？
房價暴跌不會對國家經濟傷筋動骨吧  你以為綠共會讓房價跌？動搖國本欸！
賴清德如接受九二共識中華民國就會被  如不接受性騷擾中華民國就會被消滅
請問這根兒4什麼  4魔羅大人啦
八卦板一堆性騷擾慣犯  我只不過幫賽車女郎工作權說話也被當
月薪3萬30歲開始存錢能買得起房嗎  歲才開始存錢XD
為什麼一堆遊戲大作幾乎都是黑暗畫風  我也不懂以前天堂online那麼暗，一堆人
為什麼買賣文賣出後都喜歡刪價格  可以檢舉
賴清德如接受九二共識中華民國就會被  中華民國本來就不存在就台灣人在自嗨
Jinny在華山喝酒啦  喝酒會臉紅的人代表不適合喝酒
肥宅經濟學有沒有搞頭  肥宅很簡單有奶or2D奶就會掏錢
要怎麼跟外國人解釋台灣不是kobe國  無從解釋已經是台灣特色了
台灣二輪世界上技術最好水準最差  路人不看路腳踏沒法管二輪找縫鑽四
5億高中生針孔非醫護所打律師團不忍  生前打的孔還死後甚至推敲的針孔傷口
日本沒考慮禁止台人自駕嗎  日本三寶也很多好嗎
水星的魔女居然在重演64事件  好了啦，你是中國人嗎？64干你屁事？
蟬連企業最愛公立中型大學高雄大學  還有分中型大學喔…以後來個小型大學中
入圍金曲獎周湯豪報喜已經贏了  金曲已經入土十幾年了
政壇MeToo風暴延燒范雲聯合婦團聲明  有夠假的
六四事件34週年陳建仁中國仍然用暴力  用暴力方式面對不同意之人不只有中國^^
每天都喝五杯飲料會怎麼樣  錢包會少五杯的錢
戰狼學者200個城市不要了和美國一起回石器時代  你回石器美國還在太空時代好嗎智障
台南流浪狗之亂闖幼園破壞追騎士  我看全台灣狗本和流浪狗都搬去台南好了
這世界有因果輪迴機制嗎  因果真的存在真的不要不信壞事真的別做
如何調適一年十個月  都被肛了10個月沒差了吧
有沒有宮家64手的八卦  家這門。不過一定是有傳承，不然王家
企鵝妹在看機票了  別哭了等錢花完就會回台灣了
今年秋冬電力吃緊台電備轉拚保6  今年是地熱元年有相當於12座核四的潛熱
騎機車加油站跑法有違規嗎  有違規啊
林威助到底是出了什麼事  不是有人說跟老闆吵架
必勝客跟拿坡里的個人餐推推  個人餐塞牙縫都不夠你吃得飽?
送瓦斯的是無袖肌肉底迪該怎麼搭訕  我不知道真假，倒是曾聽過來送瓦斯中年人
藍綠白政治圈27案性騷史一次看綠8  不要吵你們都是鄉下人沒在分藍綠的
古人是不是一堆開掛的  例如是哪種事情你也提一下好不好？
各位想要的生活實踐了嗎  再前進一步.就實現了
林威助出席阪神日中信兄弟回應了  阪神威助日->阪神無助日，太無助了
南北粽只是差別在包之前先把米煮熟  南部粽哪有在加麻油你是吃到麻油雞飯
聽說今天中國買不到64GB隨身碟  64g記憶體也不好買
企鵝妹的學歷類似台灣人報什麼  居多所以他們的學貸也背的蠻慘的xdd
企業公司董事長平常的工作內容是什麼  幫董事長翻譯斗內容
爆自稱大老性騷小英女孩卡神悔恨  我還以為是卡神被性騷，我想說這種都吃
總統府資政疑涉性騷府方已請調查  已請了喔你們閉嘴再講要提告了喔
這世界有因果輪迴機制嗎  吃案還不是爽爽升官有差嗎?
台灣治安很好好幾年沒出第二個鄭捷了  鄭捷是為了想幹大事
面對64是不是逃跑投降最贏  看價值觀，有時就是簡單的，我不願成為
遭控性騷擾林男固被迫離開我熱愛的民  你是被迫性騷的嗎
蔡英文若不做總統我騎自行車環島  她沒說單人騎呀，騎雙人，前面的人踩
綠能永續發展相關科系在台灣就業市場如  你市場要大是要跟海外市場比，台灣這
當記者需要什麼人格特質嗎  當記者需要是個人嗎？連AI都比他們強
小時候被老師打屁股算不算性騷擾  算
美國坐牢很輕鬆嗎  沒看新聞嗎美國監獄也是很亂很可怕
誰是imb  im.B是什麼?讓我們關心性騷
韓國vs馬國旅遊強制二選一  我知道是韓馬二選一，所以我選荷蘭
老外離婚後現任丈夫跟前夫都能當朋友  當不當朋友還好
高爾夫球怎麼這麼難  難才會常去
為啥茶茶的老公叫茶爸  老闆的太太叫老闆娘
鴨為什麼用烤得比較好吃  鴨皮吧鴨皮用烤的又香又脆
療癒荷包蛋水母推特爆紅水族館每週  再來隻夜市牛排水母就完美了
這款西瓜冰還買得到嗎  以前只有OK買得到
聽說今天中國買不到64GB隨身碟  也買不到馬力歐64
閉上眼睛捂上耳朵  蒙上眼睛才對啦
台灣治安很好好幾年沒出第二個鄭捷了  台灣這8年治安超好沒有死刑犯
六四事件你是忘記了還是害怕想起來  都過幾年了還不如多關心新疆人權是真是假
不想被吃黑豬跳車仍難逃一死志工幫安  不想被吃怎麼不跳車?
要怎麼判斷有沒有乳糖不耐症啊  你覺得有就有沒有就沒有
711是不是最近技術性漲價  不只漲價像微波食品裡面含的竹籤也一
5億高中生針孔非醫護所打律師團不忍  醫護的影像沒有打，檢察官說有打
隱忍9年男子控王丹性侵未遂  社運人士不管隔幾年好像都差不多啊
詐騙集團幫你訂pizza  會幫你訂披薩所以我都掛掉不敢罵他
中國是聯邦制台灣願意加入嗎  他們是嗎是的話再說阿幻想啥呢
野生黑熊疑似入侵日本動物園緊急關閉  台派賤畜入侵日本
過三十的女森會特別在意自己的年紀嗎  遇過58歲的要和她兒子同齡的
快訊搭旗津渡輪見海上漂流物竟是男浮  搭渡輪看到浮屍厲害了
快訊搭旗津渡輪見海上漂流物竟是男浮  搭個渡輪也能看到也太可怕了..
秀逗泰山把陰囊皮張開來飛484性騷擾  樓下陰囊皮能當降落傘嗎？
台女為什麼要四處開闢戰場  開戰場才有流量吧
認真問64要檢討到什麼時候  就像愛一個人一定要玩她的g點
藍綠白政治圈27案性騷史一次看綠8  看買多少廣告能這樣報導啊
王丹遭指控性騷清大若確認違性平法他  平權綠粉該出征清大了
當台灣總舖師南投先出菜賴清德觀光  訊號來了下一個要炒的地方是南投
有繳福利會費員旅只能跟同事嗎  員旅不就是小祕密專用==沒小祕密不用去
為啥老人把位子卡死還叫年輕人努力  不努力難道要叫卡好位的老人努力？
現在的學生用安卓會影響人際關系  用安卓會笑你，用蘋果會洗你臉，很靠北的
南寮流浪狗攻擊致死國賠269萬高虹  崩潰成這樣話都打不好XDD
批民進黨找雞排妹幹嘛于美人奶沒有  八掛版：不是民進黨說所以就沒有性
為什麼近期性騷對象都是小女生  小女生沒經驗而且還是小女生
護航哥布林性侵犯行為的該怎麼稱呼  怕痛的我把防禦點滿
藍綠瘋狂洗同一件事有卦嗎  那你可以洗六四
我們國家準備好面對AI的衝擊了嗎  [問卦]年輕人準備好面對退休的衝擊了嗎
侯友宜最新民調支持度20墊底大本營新  綠色很急一直幫侯友宜做民調
台灣七澤美亞有超越日女Lucy嗎  台灣叫Lucy的正妹有好多個我只服倪Lucy
性騷擾案子爆得太順了吧有沒有後手  56哥決得台女被性騷擾沒有64嚴重嘻
為啥今天是行人地獄日  今天明明是占占四洗日
當年被稱鬼城如今雙語學區搶破頭房價10  你在學校都用英文那雙語在哪==
梁山泊會有性騷擾嗎  有阿，馬劍星會騷擾風林寺美羽
政壇MeToo風暴延燒范雲聯合婦團聲明  她找過范雲結果范雲辦公室已讀不回
企鵝妹是特別支持甲甲嗎  西門是甲甲地盤？
叫女生姐姐跟阿姨差在哪裡  叫姐姐有打折叫阿姨貴10%
台灣的交通在東南亞排名第幾  東南亞第一吧
太誇張苗栗親子公園除役掃雷車26支大  26支偷走24支太瞎了吧XDDDD
水這個字是怎麼變成台語的漂亮發音代替  台語的水有兩個發音，說不同的對台語認
香港曾有移民潮台灣有嗎  1995閏八月那時候有一波
台灣的保時捷休旅車是不是有點多啊  原po是不是沒來台中台中凱驗比計程多
平常有空看直播的都是什麼人  不知道欸樂芙都不看直播==
教拳擊的4不4比教柔道的正派  我覺得拳館的人都比較直接爽朗柔術
政壇MeToo風暴延燒范雲聯合婦團聲明  找范雲還不如找國昌
水這個字是怎麼變成台語的漂亮發音代替  很明顯看得出是瞎掰最後不用強調了
馮光遠開戰高嘉瑜林秉樞下重手只不過  過去到現在有多少件，超可怕
以後不想吃達美樂了  黑酸昨天不玩暗黑4今天不吃達美樂真忙
女森會做煎蛋捲加幾分o_o  洗批幣很爽嗎
機器學習算力競賽  大部分人都不是演算法天才拚算力就
結婚買鑽戒的人多嗎  我缺的是買鑽戒的錢嗎？
南寮流浪狗攻擊致死國賠269萬高虹  希望賠錢後大力抓捕流浪狗，用罰金堵嘴
政壇MeToo風暴延燒范雲聯合婦團聲明  讓之前事件~范雲為啥不譴責婦女部不出面?
民進黨58立委封殺性騷提案他公開  解放軍會~
藍綠白政治圈27案性騷史一次看綠8  幫高調
民進黨58立委封殺性騷提案他公開  博取大眾同情。他自己卻擋法案。很扯
冷氣吹3天沒停了  樓下會說開一個月沒關了
台北建東怎麼那麼吵的八卦  不是什麼娛樂的老闆嗎也是有頭有臉的人物
每月要花350萬吸毒是多能吸  毒品簡單算吸一次是要多少錢啊?
政壇MeToo風暴延燒范雲聯合婦團聲明  什麼政壇MeToo?根本綠營MeToo吃案裝清高
台灣的保時捷休旅車是不是有點多啊  空車的輪框是黑白的開出去馬上被看破
5億高中生案越來越多疑點  最後查無她殺嫌疑全案偵結
漢堡王活動怎麼這麼多  屁那個是限定活動不是全省活動
民進黨58立委封殺性騷提案他公開  這是民進黨的福利啊！
流浪犬追車事故多嘉縣議員建議將犬掛上  狗就是會有帶頭的亂追亂吠，攻擊老人小
我怎麼看都是青色  RGB碼的綠色和藍色拼在一起就是藍綠色
認真問64要檢討到什麼時候  認真問228要檢討到什麼時候
蔡阿嘎5家店Google評論都只有3顆星  日本人只有234，台灣人只有1跟5
政壇MeToo風暴延燒范雲聯合婦團聲明  這些聯合聲明的團體，有出來譴責冥進
發現董事長是孝子會想啥  通常都是斗身家的我才會說是孝子XD
流浪犬追車事故多嘉縣議員建議將犬掛上  狗狗是無辜的，建議全面撲殺狗本！
紐約的薄脆披薩對台灣人484沒吸引力  你說的紐約披薩是連鎖店的嗎
現在台北雷聲超大  大安區大雨中
台灣可學習越南和韓國的文化獨立嗎  你這篇不就是用國語寫的嗎
哭啊你媽死了怎麼成為迷因的  泰國人大戰中國人網軍的時候啊
澎湖海鮮1桌4萬1PO網轟惡劣商家  六隻龍蝦就18000，泰國吃一整盤海鮮
肥宅的喉結會很帥嗎  肥宅喉結都肥油被蓋掉
世界上哪場學運最乾淨  318學運是怎麼起來的
茶爸真實身份是達美樂董事長  你要稱徐董他是達美樂董事長也行啦
民進黨58立委封殺性騷提案他公開  這麼多民進黨立委年紀輕輕就初老真可怕！
科技公司可以風騷30年的只有微軟  食品公司風騷百年的怎麼辦
企鵝肖子484又在展現無知了  在意就算了又雲又愛出來講得自己很懂
茶茶Jinny企鵝這波達美樂廣告很成功吧  茶茶比較厲害吧被茶爸這個乾爹注意到
火車上筆電玩遊戲算機掰郎嗎  帶17"3080Ti筆電坐火車玩能看嗎
台灣人為什麼很喜歡當糾察隊  那對糾察隊進行糾察的糾察隊呢
台灣二輪世界上技術最好水準最差  不遑多讓
小蟲為啥能頂住歐肥  小蟲很硬的
澎湖海鮮1桌4萬1PO網轟惡劣商家  最頂的比不過只能比最底的
藍綠白政治圈27案性騷史一次看綠8  lag了綠現在是21案欸==
買達美樂披薩算間接抖內給企鵝嗎  用達美樂披薩尻槍=間接跟企鵝做愛
台灣的保時捷休旅車是不是有點多啊  台中真的超級多也不知道買這種的心態是？
蔡阿嘎是不是看起來很欠揍  YT跟傳媒不一樣，YT都是觀眾自己點下去
藍綠白政治圈27案性騷史一次看綠8  確定綠只有8案嗎？你好像沒把早期的算進
民進黨58立委封殺性騷提案他公開  黨意立委
暗黑周邊簽名比較好還是披薩簽名比較好  所以今天買的人明顯比昨天多啊
24萬包私菸全數銷毀市價約1700萬元  銷毀是這樣銷毀的？該燒掉吧？
蔡阿嘎是不是看起來很欠揍  所以蔡阿嘎是廈門典型長相？
如果當年六四革命成功了現在中國會比較  美國現在也是那一套還是說其實跟美國學的
直播時你想看到是正確方向還是鏡射方向  那個是茶茶茶茶還是茶茶
達美樂的店面怎麼那麼少  達美樂沒有那種讓人想去買的慾望
可以用吃某種食物來紀念六四嗎  吃披薩
全家義大利麵是不是屌打義大利麵餐廳  是屌打假義大利麵餐廳
為什麼台中公園附近總有一堆阿姨  平等街一堆
綠營高層性騷吃案不只林飛帆王鴻薇再4  https://i.imgur.com/zJLx2Ph.jpg
澎湖海鮮1桌4萬1PO網轟惡劣商家  重點是海鮮的高價並沒有回饋到漁工口袋
民進黨58立委封殺性騷提案他公開  kmt就廢物啊,8成kmt的立委大多數只
孫權沒有一統天下的野心嗎  結果孫文用三民主義推翻滿清。
披薩算不算垃圾食物  不算披薩只是一種食物的形式營養成分屬
六月在夏天又去了海邊  ㄏㄧㄡˇ
連鎖披薩店霸主達美樂必勝客拿波里  給果凍->更奴化超棒
計時主任是什麼鬼  領計時的錢做主任的事
澎湖海鮮1桌4萬1PO網轟惡劣商家  海鮮一個人1500就要撻伐
GIDLE開唱秒殺BABYMETAL吸千人朝聖  10萬人是搶屁
Dcard熱門不聊天的男生怎麼交到女友的  有機會不被當嗎的人（然後天曉得他是想
大家都是怎麼換工作的  工作那麼累幹嘛要工作
蜘蛛人射的絲誰去清理阿  不然你以為你吃的麵線怎麼來的==
任天堂64對世界造成的震撼  瑪利歐64玩久頭會暈…然後對岸能玩嗎…
日本統治台灣是進步統治落後的八卦  其實日本不是"奪取"台灣台灣是被割讓的
裸上身和AV女優合照要花多少  看到這篇才想到自己忘記發慶祝三上AV出
老闆換跑車跟斗內妹子哪個人神共憤  砸酒店妹跟包養會比較好？
紀念六四34周年民進黨堅定捍衛台灣得  台灣這七年被民進黨搞得多慘?
設立紅燈區能緩解台灣噁男現象嗎  蛤日本人這麼有素質能跟台灣比嗎？
會羨慕美國人都可以抱來抱去嗎  比較羨慕美國人都插來插去表兄弟
如果當年六四革命成功了現在中國會比較  照你這樣說，中國漢朝劉季那痞子也成功
外國人門票比台灣人便宜  外國人>狗>台灣人這樣董?
澎湖海鮮1桌4萬1PO網轟惡劣商家  盤子島不是叫假的反正也不是只有澎湖在宰
夏威夷披薩果然是成本最低的  看的出來吧料都是最基本的便宜也正常
hebe唱功是不是挺好的  她本來就是SHE最強的
連鎖披薩店霸主達美樂必勝客拿波里  達美樂是自己吃必勝客是請客用的
台灣人罵小美人魚放在美國會怎樣  小鯰魚人
幹小美人魚真人版到底誰在看  覺得能看阿凡達的應該都能看小美人魚~
孫權沒有一統天下的野心嗎  孫權其實一直都有北伐好嗎不只白等
鼠蹊部抽筋能自救嗎  是不是要叫救護車?
企鵝的手工pizza可以賣多高  捷運帶路的好像就是原本打算領養gina的
IG怎麼都沒人提到64  現實中沒人在意這，只有畜生很在意
還有人關心狒狒嗎  五樓只關心今晚要約哪一個甲
被流浪狗攻擊可以反擊嗎  狗不可以攻擊，但你可以攻擊後面的
Edge用不習慣想下載chrome  用ie下載chrome才是標準流程
真的有屁眼俠的存在嗎  屁眼俠，守護你的屁眼
達美樂會推出水泡腳皮pizza嗎  會出白檳榔蟑螂口味嗎有柯柯園區園
流浪犬追車事故多嘉縣議員建議將犬掛  不用多久狗就會記得跑之前先咬起來了
台灣披薩店是怎麼活下去的  神奇的是義式披薩能打贏他們的不多…
新一代韓團女霸主選誰啊  NewJeans五人
耶穌早點傳入中國是不是也會變道家神  中國是一神論，習神
台灣媒體當年是怎麼到手六四鎮壓的影像  台灣媒體要畫面跟他國媒體買就有了
筋膜槍值得買嗎  足底筋膜沒什麼血管也是難好的原因
筋膜槍值得買嗎  筋膜槍嗎？
達美樂的網路是不是很不好  不重要反正舔網紅自然東西都變好吃了
72環島騎士MVP確定是茶爸了吧  MVP形容根本侮辱他！爸是天！爸是神！
有屬於台灣自己的雞尾酒嗎  維大力套阿比
這場雨是否下不完  五樓直接被三樓肛到爽
批王丹性騷紀錄惡名昭彰卡神長年拿巨  卡神拿不到在哭哭
每天喝牛奶o_o  怎麼沒用多國語言？感覺失去水準..
六四事件你是忘記了還是害怕想起來  不是忘記或怕想起是可憐中國太久無言了
台灣二輪世界上技術最好水準最差  不用專指二輪台灣人都是我方便就好
菜阿嘎是什麼時候臭掉的  一開始就是臭的訂閱他的更臭
新人是精神古巴人怎麼辦  那就當精神蘇聯人直接變成他爸
請問中醫是不是世界最大的騙局呢  要說騙局把西醫當成真理是目前騙局
天使新世界聖戰軍Day364  都是新的一天，從自己做起，讓周遭一切和
台中前市長也爆性騷擾愛摸女記者後背  ==這些女的根本不會跳舞吧尷尬死了
澎湖海鮮1桌4萬1PO網轟惡劣商家  都開到谷關了，不爽開下去吃飯再上來啊
爆自稱大老性騷小英女孩卡神悔恨  基本道德大亂鬥現在地球是廢墟吧
藍綠白政治圈27案性騷史一次看綠8  藍白紅網軍被打臉只要檢討綠藍白的都
雞排妹參選會提到性騷擾嗎  女性參選人提性騷擾是加分男性則是扣分
六四34周年馬英九籲陸面對歷史提醒蔡  馬英九：面對歷史八卦板：他國內政
在妹子旁邊的跑步機跑步是性騷擾嗎  你這篇文的內容是
孫權沒有一統天下的野心嗎  的，孫權的施政基本上需鞏固在江東
如果蔡阿嘎是負評五間中國餐廳  不是啊到中國負評只選五家很難選欸
大家有感冷氣變小嗎  whatis冷氣變小
抖內企鵝妹的榜首茶爸是達美樂董事長  茶爸千金透露成本最便宜的是夏威夷
慟企鵝妹不要義大利觀眾了  義大利觀眾應該都中風送醫了
波蘭志願軍參與入侵俄羅斯本土  境摩擦，況且波蘭只出兵佔了切申一小部分，
這是甚麼螺  看螺旋的比例是田螺
為何台灣制度不是副總統兼行政院長  副總統兼行政院長很有問題把…
藍綠白政治圈27案性騷史一次看綠8  跟台南的爐渣一樣，環保局看一看就說
台中捷運自製了駕駛艙  XD現在出事後要配駕駛了哦笑了
還有很多性騷擾嫌疑犯不知道名字耶  前幾篇推文有人有掛啦沒被推爆
侯友宜戰爭很可怕台灣要和世界當朋友  中共入侵很可怕要和世界交朋友幫忙防備
這裡有FIN運動飲料大師嗎  之前有鄉民發過文做出FIN的是他爸爸
越南旅遊到底頂不頂啊  中越峴港2018以來多紅啊啊啊啊
民進黨58立委封殺性騷提案他公開  打臉詐騙性騷民進黨就是推
請問這樣做會很蠢嗎  蠢不蠢不好說一定很爽
有沒有六四遊戲不能發文的卦  或遊戲就好，話說FB做審查的都是中國人嗎
中國會怎麼報導綠營的MeToo活動呢  快報喔，讓中國MeToo覺醒看可以搞到多少
茶爸真實身份是達美樂董事長  茶爸是達美樂董事長潘思亮嗎?
綠營高層性騷吃案不只林飛帆王鴻薇再4  死忠的會說他不是吃案我們只檢討吃案
假設天安門是一座副本一王跟尾王各是誰  這是幾人副本？40人應該過不了吧！
青春是不是很棒  那是臉帥跟8+9才能體驗的
從基層做起做到董事長有可能嗎  很多富二代也都說自己從基層做起啊
流浪犬追車事故多嘉縣議員建議將犬掛上  嘉縣議員建議將犬掛上“推進器”...這樣合
我也被性騷擾了  我剛吃午餐結帳的時候，也被老闆娘偷
性騷擾被吃案還被爆料吃案還不悔改  作完還說要怪你長太漂亮這個....
如果當年六四革命成功了現在中國會比較  維持秩序的解放軍，毆打致死焚屍
為何台灣制度不是副總統兼行政院長  台灣的副總統應該是世界上最爽的工作沒
鬼島50歲中年大叔或大娘自己開公司成功  30幾歲出來開挖公司客戶走一堆好嗎
大家不能辜負為了民主犧牲的肛門吧  犧牲別人的肛門可以
中國以前是人吃人社會嗎  人吃人最多也就小聚落同類互食有病毒
嘴破洞位子怎麼決定的  一般人破的根本還好但矯正器的破在
覺得套裝機都很爛的是什麼人  是真正懂電腦的人XD套裝機是盤子
六四這天不能聲援性騷擾被害者嗎  被坦克輾和被摸屁股這是大是大非的問題
房屋建案名稱都怎麼想出的  最蝦的說原建案賣得好，接下來推案連動腦都
為什麼大學一堆課在分組  社會化的一部分，團隊合作
闖澎湖箱網狂咬海鱺300公斤鯊魚就逮  代表澎湖海域的魚變多了吧才會吸引鯊魚
若不小心喵到事業線對方很不舒服會被  最近哪一個事業線很長
王丹才被中國政府判4年  來
台大經濟學生被批判的比意見領袖更慘  各系都一樣，因為你對不起你自己的經
YTpremium規定愈來愈嚴格  不然家庭號訂下區，還可以管理子女帳戶
58綠委被爆否決檢討性騷通報機制粉  看來這58位都很了解民進黨內部問題
波蘭志願軍參與入侵俄羅斯本土  這麼挺俄羅斯，去簽志願兵幫忙打啊
牛奶的價格上下限為什麼那麼高  奶粉，保久乳，牛奶，正常的情況一樣
八年級勇敢提勞基法給主管七年級呢  老人自己愛當奴隸不要拖八年級下水好嗎？
筋膜槍值得買嗎  2700的不夠強不要買要買7000以上的
綠色大軍蠢蠢欲動哥布林巢穴動畫化  綠共就支那愛台人士，哥布林巢穴習近平
王丹六四前捲性騷矢板明夫對海外中國  日本人長年關注中國民主希望台灣大局為重
房屋建案名稱都怎麼想出的  阿喵印象
性騷房價2兆綠能等有六四重要嗎  分類重要
為啥西歐能忍受難民偷渡客犯罪  林的排外性然後就變成這些人在西歐地
台灣二輪世界上技術最好水準最差  技術不見得最好，水準有可能最差。
臺灣64不準討論64以外的事情  不准64我是不知道但不准談性騷倒是很多
戴上口罩人人都是帥哥或美女  疫情重啟捷運又都戴上口罩惹
蘋果充電線原廠還副廠好  原廠副廠很快線不能充
為什麼人妻或大齡女喜歡找人夫呢  不然要找你ㄇ
阿凡達納美人組一隊打NBA打得贏嗎  兩隻就贏了吧
王丹才被中國政府判4年  香港的周婷也一樣，判不到一年
光電洗錢吸金imb性騷擾案哪個最嚴重  光電牽扯國家未來最嚴重
澎湖海鮮1桌4萬1PO網轟惡劣商家  我去澎湖1個人進海鮮餐廳點小份的吃完大概
咬傷奶頭沒什麼吧大家大菊為重  你讓愛滋甲咬傷你奶頭好了
小美人魚的故事也太感人了吧  不錯
電視節目馬賽克乳溝打馬是假道學嗎  如果乳溝要打馬賽克那路上露乳溝的人
王丹可以改名重新來過嗎  不喜歡潤滑油的朋友可以不加
黎明憑甚麼當香港四大天王  天王要演戲黎明演戲很多沒毛病
中國共朝是不是已經進入帝制認真  不是耶羅馬帝國後期很多也是找有能之人接手
有沒有無限上綱的metoo開始盛行的八卦  女生的身份就是一層受害者的BUFF
要點什麼pizza口味  有什麼買什麼
我就問西昌街到底要不要設性專區  性專區不能設在寺廟附近所以龍山
有人有不小心看到女同學的內衣過嗎  這樣有沒有性騷擾記得追溯無期限
政壇性騷事件連環爆柯文哲嘆最多找  你可以跟你老闆說拍桌呀
小學男生不能用右手會很不方便嗎  世界欠我一個山田杏奈
哥布林的皮膚為何是深綠色的居多  台灣的綠色哥布林有投票權，選出哥布林
國中小老師為什麼都沒有淘汰的機制  現在出事的也不乏是認真的，我的體悟就
藍線  你還是發謎片截圖比較安全
有沒有可以選轉畫面的webcam軟體  選轉
Pizza店這麼多人是去吃披薩還是看茶爸  茶爸不會露臉，你看不到。
急電腦3天沒電源就很難開啟  直接換一台就沒這煩惱了
各地天氣悶熱花蓮高雄發布高溫警訊  不用太羨慕不缺水謝謝
性專區開放之後妓院應該開在哪  開哪都好我方便去就好
撼進步價值崩壞成什麼價值  進步價值在美日玩的很瘋狂～多點國際觀
小英之友會也傳性騷擾陳時中會瞭解  就是會施壓，讓受害者不敢講
館長可以贊助企鵝妹什麼  薛錢韓國仔不要蹭館長好嗎
中國共朝是不是已經進入帝制認真  你是不是不知道甚麼是共和啊?習維尼之前那
政壇性騷事件連環爆柯文哲嘆最多找  塔綠仔只會檢討別人，自己被性騷
六四學運仔上位會是什麼光景  上任的會是趙紫陽老實說如果當初是
到底誰在現實中會講超好笑  我都講特別好笑
獨創校百年成功高中首位女畢業生是  噓文的那個是被生成怎麼樣，很屌是不是
沒人發現台灣不設立性專區很莫名其妙嗎  台灣不是歐美不是先進也不是國家為啥要設
小美人魚給男同性戀演誰適合  你這樣提要怎麼繼續嘴爆同性戀==
開豐田86真的不好嗎  披著狼皮的羊終究不是狼，懂不？
準備玩王國之淚了要注意什麼嗎  沒玩過上一代，那你可以準備賣二手了
同學跟清潔工請教數學  其實那位清潔工是菲律賓賭博大老
國中小老師為什麼都沒有淘汰的機制  生奶頭都沒被淘汰現在至少有在做
機捷怎麼都停一些很偏僻的地方  靠近機場的捷運本來就會經過偏僻的地方
不關心南京大屠殺幹嘛在意六四  得到google就有跟南京大屠殺差那麼多
小美人魚給男同性戀演誰適合  小美人魚就生理人魚，心理人，後來轉換
批王丹性騷紀錄惡名昭彰卡神長年拿巨  王丹跟沒拿到經費的卡神我相信卡神
李榮浩今天要怎麼幫老婆過生日535  昨天提早過啊
UNIQLO外還有什麼衣服褲子適合男性八卦  可能要先弄清楚自己的穿衣風格還有治
國中小老師為什麼都沒有淘汰的機制  今天有一大堆的規範不就老屁股老師惹出來的
對岸坦克進化到什麼程度了づωづ  這是德國的坦克消音器
台中前市長也爆性騷擾愛摸女記者後背  前市長是只有當過的總稱馬又不會被稱為
波蘭志願軍參與入侵俄羅斯本土  波蘭等復仇等很久了從波蘭王國一路被扁
性專區開放之後妓院應該開在哪  何必專區，開放旅館飯店就好了
機捷怎麼都停一些很偏僻的地方  再說，很繁榮的地方，地也不便宜
RISU外流社團突然爆紅  你覺得爆紅就爆紅囉
如果當年六四革命成功了現在中國會比較  如果六四成功恐怕現在就沒有中共和
王丹歡迎提告  甚至王丹至今仍是中國籍
為什麼不反核了  接下來想要騙騙核五的各種補助
台中前市長也爆性騷擾愛摸女記者後背  摸女記者背很容易抓記者都帶攝影
女生加入外流社團的一律封鎖  還好我不用加入就被封鎖了
候選人為什麼要周遊列國  周遊表示
粽子也漲價了  漲5元沒了不起，每年都漲5元就屌了
年輕人對王丹也太不禮貌了吧  禮貌？禮貌能解決問題嗎？
以前七年級被叫草莓族那八年級呢  八年級爸媽是五年級吧
麥當勞為什麼是新竹美食0_0  麥當勞真的是新竹的平價美食無誤
平常沒在關心機捷的鄉民因為企鵝才開始  蓋哪都有低能兒靠北，蓋在偏僻的地方比
黃仁勳vs蘇姿丰都幾  都是台灣沾光
小美人魚為啥不找黃種男孩來演  小美人魚就生理人魚，心裡人
哥不淋醬油怎麼辦急在線等  我也不加醬油
MMBCU那個怠速熄火要開嗎  看你心情啊嫌車怠速很吵就開
不關心南京大屠殺幹嘛在意六四  真的，關心六四幹嘛？中國民不民主關
立友騷雞發生在現在是不是會很慘  立友大概路邊賣雞蛋糕了
張高麗可以請彭帥提告嗎  推1樓，雖然我覺得彭帥是性進貢，雙方合
六四天安門事件的真相是什麼  是中國的聖戰，清除那些思想遭污染的學
下雨天聽什麼冷門歌最舒服  樓下想唱什麼歌給我聽
有沒有64松江城的八卦  就是要不好爬城主自盡的時候才能稱得久阿
高雄國際旅展人潮擠爆台日友好粽鼓  高雄起飛
被控毆黨工還嗆死同性戀陳右豪稱我沒  看來他對小菸的政策很不滿呢
政壇性騷事件連環爆柯文哲嘆最多找  人家爆性騷民進黨粉洗幾十篇不敢講？
王丹歡迎提告  跟王丹比起來，魏京生真是條漢子
不然你要投  我投你的投
矢板明夫性侵受害者請不要在64爆料  歷史真相就是戰車性侵學生壓在地上磨擦
